rho,time
17,0.0170269
15,0.0323889
15,0.0451841
14,0.052366
13,0.038522
13,0.034739
11,0.0553682
11,0.0365651
56,0.0374889
93,0.042078
61,0.0387571
40,0.0262461
30,0.0189822
24,0.027087
17,0.0224872
16,0.019762
17,0.0178761
15,0.0237861
15,0.0242379
14,0.0210528
13,0.0230501
13,0.02192
11,0.022382
11,0.0220141
56,0.0614378
93,0.040246
61,0.03408
40,0.025383
30,0.021812
24,0.0215609
17,0.023427
16,0.0228179
17,0.017719
15,0.026906
15,0.0229161
14,0.022402
13,0.0211511
13,0.0208981
11,0.0206449
11,0.0210099
56,0.039866
93,0.0374141
61,0.0292442
40,0.0225451
30,0.0208321
24,0.0186491
17,0.0197132
16,0.0186021
17,0.01809
15,0.024183
15,0.025712
14,0.0215781
13,0.022701
13,0.0219979
11,0.020906
11,0.020685
56,0.040611
93,0.03704
61,0.029737
40,0.023104
30,0.0209761
24,0.020489
17,0.0196662
16,0.0224102
17,0.0183489
15,0.0214839
15,0.0243869
14,0.024117
13,0.0203691
13,0.0213511
11,0.0221891
11,0.0210071
56,0.0400889
93,0.0378652
61,0.0311711
40,0.0250401
30,0.0209692
24,0.0242481
17,0.0214159
16,0.0208392
17,0.0189862
15,0.0302951
15,0.0272329
14,0.0245209
13,0.0201631
13,0.0206861
11,0.022788
11,0.0497689
56,0.0397959
93,0.0365541
61,0.0285749
40,0.0230441
30,0.022903
24,0.020226
17,0.0189359
16,0.0185571
17,0.0181279
15,0.0291011
15,0.0239811
14,0.0274019
13,0.0311439
13,0.0212252
11,0.0206339
11,0.0248909
56,0.0414832
93,0.0365112
61,0.0287659
40,0.023277
30,0.0203171
24,0.0194221
17,0.0186729
16,0.0229049
17,0.0185649
15,0.0259919
15,0.023267
14,0.0231771
13,0.0208819
13,0.0227351
11,0.0208259
11,0.019912
56,0.0413802
93,0.036294
61,0.029412
40,0.024657
30,0.022125
24,0.020092
17,0.01934
16,0.0182769
17,0.0191109
15,0.0243621
15,0.023525
14,0.0208089
13,0.023273
13,0.0215569
11,0.018961
11,0.018918
56,0.0594361
93,0.035249
61,0.0284021
40,0.0221
30,0.0208609
24,0.0196619
17,0.0187891
16,0.023401
17,0.0180728
15,0.026432
15,0.0223792
14,0.0229492
13,0.0221932
13,0.0239089
11,0.0249
11,0.0236402
56,0.042701
93,0.059552
61,0.034019
40,0.0238869
30,0.021646
24,0.0210371
17,0.021076
16,0.0182581
