rho,time
1998,4.86174
1991,7.19669
1989,7.11034
1958,20.2191
1953,16.3725
1968,9.58179
1961,18.9792
1948,9.70907
1956,9.43707
1916,8.3525
1914,6.89225
1921,9.4065
1896,8.70047
1909,13.0811
1879,8.85365
1887,12.2986
1887,6.55624
1869,16.253
1855,18.9424
1864,22.1562
1857,9.20582
1847,6.67116
1837,6.64713
1825,14.7911
1834,6.89324
1829,6.70443
1815,6.9279
1796,6.82096
1784,6.63956
1798,9.38393
1795,8.66298
1781,9.20469
1769,12.8816
1764,6.37267
1757,9.85646
1740,14.2085
1734,14.7598
1751,18.6773
1767,6.57365
1749,6.31533
1725,6.34281
1704,6.57577
1718,17.1737
1707,6.25555
1688,13.4579
1703,6.4743
1702,13.1741
1682,6.2575
1682,6.24015
1675,6.29556
1665,6.41786
1674,15.6742
1672,15.6987
1657,6.43159
1647,18.13
1631,13.9706
1645,6.32291
1612,14.5994
1639,6.13758
1630,6.09014
1618,5.99263
1627,6.65796
1603,6.48343
1602,6.48206
1589,6.27537
1582,25.6498
1580,6.24561
1585,6.42913
1575,6.38522
1556,8.52661
1568,6.40552
1562,13.5734
1561,6.29387
1540,6.43553
1532,6.51554
1545,6.04831
1548,6.39364
1523,26.053
1522,6.11157
1507,6.36221
1508,6.16865
1516,16.5175
1503,26.1418
1516,6.19575
1486,6.11512
1489,22.4988
1475,6.29779
1481,12.6165
1479,15.5173
1471,6.27301
1466,15.3459
1449,7.64267
1445,11.7808
1447,11.6639
1459,6.21099
1445,8.46027
1428,11.5761
1427,12.6143
1432,7.6041
1413,6.34629
1415,15.6761
1406,7.7642
1412,12.3887
1400,6.08066
1392,6.05427
1393,12.1825
1392,6.83339
1362,12.5805
1374,5.99973
1392,17.0706
1374,7.51566
1356,7.41473
1347,6.16225
1346,12.58
1342,7.9967
1347,7.76946
1339,6.10382
1302,8.34105
1328,17.1128
1331,6.13309
1311,6.11841
1297,8.13054
1309,6.78231
1306,6.10749
1299,6.25773
1279,6.52131
1275,7.29088
1290,7.01212
1280,7.35739
1274,6.58613
1264,6.87648
1254,6.43193
1268,6.45282
1258,6.17101
1257,11.056
1244,12.391
1248,11.3489
1252,11.5036
1252,11.0375
1224,11.1975
1239,6.77464
1224,14.3024
1221,7.49788
1208,10.9334
1188,6.97723
1195,11.2023
1197,6.11808
824,1.71029
1047,6.81889
1088,6.54499
1137,6.99376
1154,6.61866
1160,6.5809
1157,6.89985
1182,30.1949
1170,6.56972
1195,25.6154
1156,6.54895
1139,6.55506
1160,6.79681
1162,6.54194
1173,6.75681
1151,13.6811
1099,6.61278
1116,6.78129
1148,6.57012
1158,6.74838
1122,35.5744
1116,6.63934
1110,6.73199
1132,6.65456
1115,6.80439
1107,6.575
1105,33.4085
1133,6.39324
1122,12.8198
1119,6.91484
1105,6.77786
1103,20.4988
1105,6.67886
1105,6.60091
1118,28.0473
1074,6.79703
1073,6.74721
1063,6.84117
1064,6.56866
1062,6.53655
1089,6.7313
1083,6.72752
1043,6.72841
1033,6.51942
1035,6.53295
1019,22.3668
1020,24.3234
1012,39.322
1037,6.52046
1040,6.30387
1033,6.80452
1010,27.9038
1026,6.4689
1016,39.4926
1011,6.66444
1000,6.82542
1001,6.57383
1010,6.66219
977,6.45642
1004,6.38278
978,37.0437
979,6.60787
965,6.66442
935,6.3837
990,6.68893
1002,6.7499
957,34.4277
947,6.32552
937,6.34592
936,6.61222
942,6.37557
931,34.9232
926,6.60826
927,6.65446
932,6.49996
962,24.5936
956,6.5753
955,6.6485
911,6.36446
941,6.39556
927,6.54336
890,33.6493
931,6.44329
921,6.36183
903,6.38042
911,6.57193
925,6.51036
898,6.32594
897,6.31915
885,6.1297
879,6.44753
876,6.3927
854,6.44557
860,6.69184
897,6.41993
876,6.64502
851,6.45503
878,6.44949
889,29.5413
854,6.4228
865,6.45201
873,6.39559
821,6.49335
810,6.15579
843,6.41333
839,6.73041
868,6.46564
819,6.66396
850,6.56188
867,25.3836
859,26.6734
811,6.19118
827,6.23318
811,31.9685
780,6.64771
791,6.21026
799,6.34374
798,32.0682
794,32.7093
789,6.51906
792,6.38303
785,6.6011
826,14.8114
829,15.0013
801,6.51721
756,7.09314
782,6.57183
781,11.9251
764,6.33572
774,7.32898
786,6.53372
758,6.12378
748,6.5024
800,6.81797
730,6.71183
775,6.30316
733,6.31635
728,6.51777
769,17.5746
707,6.31262
730,15.2022
697,6.46349
762,6.27812
711,28.1856
742,33.205
726,6.47026
704,6.50727
