rho,time
6395,17.2701
6395,56.3156
6394,55.3735
6397,56.2411
6396,57.8936
6395,55.3495
6405,57.9011
6403,57.5913
6410,57.5274
6401,57.0377
6401,54.8443
6410,56.6319
6414,54.9256
6413,54.591
6418,56.222
6405,285.379
6412,53.1888
6414,53.2547
6401,55.6798
6405,55.3131
6419,53.3862
6415,54.06
6417,55.6178
6417,54.4694
6430,55.5933
6410,54.4704
6416,457.654
6403,54.1667
6419,53.0947
6413,52.852
6415,53.8812
6411,275.428
6416,52.775
6417,54.3411
6414,53.8358
6404,53.4568
6398,54.112
6382,53.7336
6418,53.8665
6428,53.5502
6431,53.3472
6409,53.6395
6398,53.5441
6387,442.509
6406,52.523
6391,52.0955
6409,441.55
6395,53.0149
6398,53.5821
6403,53.0998
6396,51.7949
6399,406.896
6386,199.781
6407,52.1833
6379,51.8557
6368,51.5343
6394,378.4
6365,51.7141
6380,51.607
6388,51.4524
6403,51.3587
6375,160.919
6359,344.603
6369,52.2125
6385,52.0606
6403,53.1767
6373,52.7618
6379,410.536
6390,52.097
6395,51.9723
6370,406.467
6368,52.6705
6348,52.2967
6399,52.1531
6413,52.0945
6412,347.87
6379,253.803
6348,50.9163
6403,50.6477
6381,50.4519
6369,101.422
6411,51.929
6355,52.1371
6356,51.9391
6370,50.7481
6382,50.4608
6360,50.1902
6363,51.9971
6355,51.9252
6366,441.601
6372,51.5286
6354,51.941
6377,51.5467
6342,51.6587
6359,51.2771
6322,51.4535
6357,50.6569
6338,50.7077
6299,390.609
6358,51.0785
6321,51.5533
6322,52.3269
6336,50.9895
6335,50.0993
6305,49.8677
6338,51.77
6286,50.7486
6338,49.8015
6272,51.4271
6325,51.17
6347,434.344
6324,49.5557
6286,49.0429
6269,50.7056
6309,51.04
6294,50.6973
6306,50.2715
6274,422.754
6262,426.329
6283,391.307
6281,51.147
6267,50.7683
6295,50.3153
6244,101.772
6269,50.8284
6271,50.6235
6238,50.4008
6229,49.1026
6230,49.1064
6214,363.844
6224,49.3539
6199,49.0434
6210,48.7651
6235,359.504
6156,49.902
6197,50.2519
6188,50.1815
6212,49.9791
6181,49.0653
6177,49.9426
6138,50.564
6162,50.3559
6146,405.575
6158,50.9282
6176,50.4971
6117,50.3883
6151,50.321
6092,49.2145
6093,49.3227
6131,49.7209
6097,49.4135
6117,49.0812
6143,48.8752
6096,382.839
6108,49.209
6083,49.0831
6075,383.506
6040,49.0343
6078,391.996
6082,48.9638
6065,48.8144
6055,145.758
6022,49.9018
6043,49.6992
6010,49.5223
6033,49.7145
5993,354.966
5988,48.3925
5982,49.6411
5942,50.0046
