rho,time
1126,6.79565
1649,74.5661
1777,42.183
1826,41.958
1888,41.7384
1913,41.384
1900,41.1859
1936,41.2238
1912,127.579
1946,50.5982
1990,34.7374
1997,50.2322
1997,40.83
1951,47.671
1993,45.5018
1986,35.9155
2013,55.9914
1960,38.2071
1974,48.4408
1949,39.3476
1959,31.8622
1978,41.3411
1964,35.3473
1945,44.1148
1952,40.62
1947,36.0862
1933,34.6719
1938,53.2444
1926,41.5394
1907,189.36
1916,16.7626
1918,15.6814
1917,44.0972
1867,46.8886
1882,40.5661
1865,40.6283
1901,33.1755
1832,48.1945
1828,124.359
1848,25.2328
1844,46.728
1829,33.527
1841,34.4086
1822,47.6654
1793,43.9725
1807,36.5425
1781,49.006
1826,41.4401
1803,33.2364
1772,46.1766
1777,44.6931
1814,37.6665
1784,48.391
1763,37.2662
1746,31.326
1744,43.5787
1730,46.0371
1738,44.0586
1762,36.9247
1754,40.493
1743,39.8846
1729,48.2692
1701,48.6092
1714,38.6443
1709,157.417
1707,19.8724
1725,15.7221
1724,168.573
1722,24.642
1665,18.4314
1666,37.0803
1680,46.2476
1704,40.7203
1665,41.1041
1679,42.1183
1647,50.0106
1685,54.5042
1642,41.6307
1623,32.0049
1644,169.46
1704,24.321
1634,40.6518
1652,121.335
1660,40.0752
1638,33.1927
1666,54.528
1660,161.688
1691,25.3853
1655,17.249
1610,41.0198
1654,125.592
1595,26.5818
1608,46.254
1640,40.6391
1640,41.2026
1612,125.776
1588,31.0086
1652,49.8297
1646,41.3405
1628,253.482
1601,12.0144
1636,9.4631
1649,41.3333
1656,41.5781
1635,41.5711
1636,283.06
1602,10.6832
1644,209.09
1609,23.3585
1607,15.5934
1579,39.9821
1607,230.774
1584,16.1038
1602,167.154
1581,32.9111
1572,21.8741
1575,41.4375
1543,41.2158
1571,35.4662
1561,41.25
1546,48.9192
1557,39.5944
1570,41.1926
1558,163.104
1588,40.9478
1521,39.9462
1564,41.2229
1563,39.9163
1532,149.396
1577,130.673
1520,37.6644
1569,27.2413
1550,41.3944
1571,35.1572
1568,53.0483
1522,44.2026
1573,43.3618
1519,174.55
1497,33.7507
1533,25.488
1515,40.9108
1541,154.407
1520,41.071
1529,214.555
1506,11.2744
1529,40.1142
1550,40.1107
1514,39.9341
1489,45.4632
1509,45.9761
1483,37.1861
1497,47.2927
1472,38.4734
1482,33.8518
1520,52.3024
1482,40.7962
1510,40.2728
1503,39.7567
1477,128.919
1468,43.0155
1503,45.6968
1510,39.7537
1509,33.7847
1471,50.739
1430,40.829
1480,40.8129
1465,36.3154
1448,42.5942
1484,127.202
1431,42.0022
1443,38.6885
1475,47.0551
1448,39.6983
1460,40.2722
1444,44.3648
1402,40.6102
1453,32.8209
1400,50.0031
1451,41.2681
1420,40.656
1437,41.1028
1419,41.0166
1422,129.839
1441,160.834
1462,20.6384
1419,14.8546
1428,44.8674
1415,43.966
1429,34.2654
1432,45.8286
1389,46.6298
1422,34.7198
1401,41.9346
1447,44.3554
1400,38.0374
1422,53.1754
1441,42.5753
1457,25.8716
1418,53.2435
1407,43.802
1428,48.8773
1420,43.8817
1394,42.1303
1409,153.044
1401,26.356
1366,42.4548
1417,50.4795
1364,35.8763
1386,39.2521
1403,49.883
1449,36.9362
1371,43.3251
1393,42.3882
1395,39.6069
1395,46.2093
1429,49.5182
1380,145.198
1358,18.7069
1388,39.4093
1351,45.797
1382,49.0141
1352,39.8232
1335,40.648
1389,39.8398
1364,39.9293
1359,35.1342
1344,51.2438
1362,274.209
1363,10.4816
1360,9.74829
1359,288.754
1320,8.23689
1353,39.5397
1334,39.4836
1355,188.32
1330,39.9172
1321,130.927
1293,40.7522
1340,158.157
1327,24.0288
1327,39.7508
1312,157.271
1283,32.6543
1327,33.8806
1308,45.7321
1295,41.211
1293,37.923
1306,39.7669
1290,131.616
1299,39.7147
1294,39.5011
1321,49.9427
1331,235.75
1277,14.1418
1270,12.3035
1283,41.2329
1289,39.963
1295,307.758
1237,249.521
1301,16.5983
1255,13.2427
1252,40.3202
1266,39.4814
1235,39.3949
1265,41.1997
1272,309.631
1254,281.882
1270,17.8766
1257,14.9087
1254,40.4816
1234,42.0744
1258,39.9053
1253,40.7274
1264,124.685
1244,312.282
1241,14.3692
1269,10.9385
1236,40.9265
1242,40.8298
1273,42.0122
1244,42.1576
1222,41.9983
1232,39.9434
1203,41.0057
1243,39.5877
1249,41.0653
1201,167.514
1220,41.5329
1238,41.5175
1223,40.9878
1229,41.293
1226,40.9521
1213,114.125
1212,39.72
1199,179.311
1194,40.7263
1218,37.4267
1242,41.9615
1169,41.2474
1214,35.4564
1199,168.751
1223,22.4377
1188,18.1988
1176,42.0215
1230,41.3684
1186,41.7241
1174,39.7655
1181,156.276
1216,22.0872
1161,253.141
1198,28.9227
1190,20.668
1196,40.1721
1197,280.413
1126,6.36985
1649,41.0156
1777,40.1174
1826,41.1708
1888,41.191
1913,41.3418
1900,39.6647
1936,41.241
1912,509.556
1946,40.9828
1990,40.1361
1997,40.5058
1997,40.5833
1951,40.5326
1993,39.4655
1986,41.1809
2013,42.6701
1960,42.4857
1974,239.512
1949,41.8263
1959,41.8624
1978,43.2591
1964,40.5941
1945,40.2145
1952,42.127
1947,481.524
1933,40.9976
1938,39.6441
1926,40.0685
1907,39.6633
1916,92.3354
1918,79.0742
1917,104.56
1867,39.7257
1882,40.0334
1865,124.96
1901,41.6127
1832,84.9669
1828,40.7579
1848,40.6701
1844,42.1487
1829,40.6676
1841,41.0822
1822,40.3226
1793,39.8746
1807,39.603
1781,120.103
1826,40.6371
1803,39.637
1772,39.4734
1777,41.1946
1814,41.5237
1784,40.311
1763,41.8636
1746,188.192
1744,40.9493
1730,40.7922
1738,41.7936
1762,40.207
1754,40.5578
1743,39.5833
1729,39.9101
1701,40.3654
1714,40.3372
1709,40.9813
1707,40.2369
1725,40.3872
1724,182.3
1722,41.0033
1665,41.4535
1666,127.437
1680,39.7317
1704,40.1778
1665,39.773
1679,40.4991
1647,40.941
1685,81.0592
1642,40.4518
1623,40.4235
1644,39.9096
1704,39.8582
1634,40.8594
1652,40.9498
1660,41.7848
1638,40.0015
1666,39.9485
1660,187.655
1691,41.668
1655,41.5943
1610,40.9878
1654,39.9238
1595,482.43
1608,41.105
1640,41.4142
1640,121.281
1612,40.1475
1588,83.6122
1652,40.8226
1646,105.007
1628,40.7461
1601,41.9623
1636,40.99
1649,40.2299
1656,39.9801
1635,39.4481
1636,41.8936
1602,41.6575
1644,41.5464
1609,40.7196
1607,40.8718
1579,41.0403
1607,41.8739
1584,45.7849
1602,44.9881
1581,39.9956
1572,39.8772
1575,40.031
1543,39.9757
1571,107.51
1561,40.3773
1546,40.4461
1557,40.6677
1570,41.299
1558,40.2082
1588,41.6685
1521,42.2591
1564,42.3139
1563,39.8074
1532,42.6474
1577,37.5568
1520,40.1138
1569,39.8492
1550,39.909
1571,39.8723
1568,77.0576
1522,40.8174
1573,41.01
1519,42.1165
1497,39.9054
1533,43.5512
1515,39.8668
1541,39.6531
1520,40.269
1529,39.8326
1506,40.0585
1529,39.8179
1550,41.1158
1514,427.611
1489,44.9717
1509,42.0702
1483,41.6239
1497,41.1223
1472,39.764
1482,441.252
1520,41.0909
1482,40.1809
1510,40.2497
1503,40.2728
1477,43.2694
1468,40.8621
1503,40.1539
1510,143.502
1509,40.8698
1471,40.9498
1430,40.6555
1480,39.7042
1465,40.2729
1448,41.2971
1484,44.5564
1431,40.8317
1443,67.1835
1475,40.591
1448,39.6886
1460,39.5629
1444,40.4919
1402,42.9112
1453,49.0583
1400,40.7113
1451,40.8216
1420,40.8188
1437,40.0571
1419,40.1769
1422,40.1628
1441,40.6776
1462,41.0781
1419,40.5593
1428,40.5818
1415,40.5088
1429,39.6523
1432,42.0027
1389,381.476
1422,41.8207
1401,41.7291
1447,471.989
1400,42.0364
1422,188.019
1441,465.237
1457,39.6313
1418,40.5422
1407,39.5566
1428,471.739
1420,41.8367
1394,41.0185
1409,41.8307
1401,41.0533
1366,44.0808
1417,46.8385
1364,41.8014
1386,41.6997
1403,39.6837
1449,148.08
1371,125.997
1393,41.0948
1395,40.9341
1395,41.22
1429,40.9599
1380,40.1293
1358,40.0317
1388,40.8122
1351,147.809
1382,40.5768
1352,39.5667
1335,40.433
1389,40.6878
1364,84.2388
1359,66.776
1344,39.8751
1362,40.1632
1363,40.2061
1360,43.9822
1359,65.643
1320,41.7889
1353,41.0477
1334,332.674
1355,48.425
1330,46.7835
1321,65.3618
1293,44.9624
1340,382.239
1327,40.8566
1327,40.786
1312,40.7895
1283,40.6155
1327,104.193
1308,40.9018
1295,45.66
1293,47.7339
1306,47.6535
1290,39.7629
1299,39.848
1294,39.6898
1321,41.4591
1331,101.293
1277,436.903
1270,40.8069
1283,41.4287
1289,40.6474
1295,39.9934
1237,83.7793
1301,39.0022
1255,40.8577
1252,83.4806
1266,48.1541
1235,45.6552
1265,39.9769
1272,41.3392
1254,41.12
1270,44.944
1257,43.2636
1254,38.5682
1234,38.874
1258,47.6234
1253,45.0545
1264,40.8709
1244,40.5812
1241,40.8464
1269,41.0791
1236,66.0032
1242,38.4921
1273,42.9244
1244,41.776
1222,34.7533
1232,39.7284
1203,84.6965
1243,39.8489
1249,40.7976
1201,65.8127
1220,45.744
1238,41.352
1223,41.2317
1229,41.1292
1226,40.9071
1213,46.1196
1212,65.4334
1199,61.4289
1194,42.4428
1218,45.2225
1242,40.8525
1169,392.32
1214,46.9368
1199,41.1684
1223,45.0688
1188,66.3656
1176,42.6109
1230,86.5903
1186,387.472
1174,49.78
1181,40.8179
1216,43.0221
1161,39.7961
1198,40.1791
1190,67.9013
1196,41.8883
1197,40.2392
1126,6.36491
1649,42.125
1777,41.3434
1826,40.0039
1888,39.5358
1913,39.778
1900,39.6418
1936,39.7617
1912,39.4179
1946,42.1402
1990,41.8678
1997,41.9986
1997,42.6515
1951,117.912
1993,40.4044
1986,36.327
2013,41.2577
1960,41.2838
1974,41.0137
1949,41.1976
1959,41.3775
1978,172.909
1964,40.4318
1945,40.1388
1952,41.9481
1947,40.8945
1933,40.983
1938,40.8402
1926,40.8545
1907,41.1803
1916,41.6364
1918,39.0582
1917,68.2025
1867,224.542
1882,40.8656
1865,39.6301
1901,40.0845
1832,40.6362
1828,42.0675
1848,41.4231
1844,41.5818
1829,40.8079
1841,41.4457
1822,79.4016
1793,40.5222
1807,40.4794
1781,40.8616
1826,42.5201
1803,41.6573
1772,41.5553
1777,40.1477
1814,36.9893
1784,39.7666
1763,40.8268
1746,100.742
1744,103.209
1730,73.9986
1738,40.5139
1762,39.6878
1754,41.7244
1743,40.3755
1729,40.3351
1701,40.3951
1714,40.389
1709,41.3934
1707,39.9724
1725,183.642
1724,182.815
1722,39.7612
1665,40.5203
1666,143.002
1680,39.7666
1704,40.2525
1665,39.5691
1679,41.2657
1647,40.9601
1685,39.5859
1642,40.7326
1623,40.8065
1644,40.6315
1704,39.6111
1634,40.8127
1652,40.7181
1660,153.659
1638,40.3333
1666,40.4522
1660,40.1398
1691,41.2752
1655,41.1361
1610,41.0846
1654,40.2351
1595,77.2378
1608,39.8847
1640,39.7852
1640,39.8338
1612,125.239
1588,80.75
1652,41.391
1646,122.355
1628,139.776
1601,40.7104
1636,39.9683
1649,40.1123
1656,39.8522
1635,40.2298
1636,40.4058
1602,39.7385
1644,39.6084
1609,41.0331
1607,40.906
1579,41.2315
1607,81.674
1584,38.7657
1602,76.4619
1581,40.8478
1572,40.8457
1575,41.1005
1543,39.8682
1571,39.9298
1561,143.397
1546,40.7185
1557,40.9556
1570,41.7455
1558,82.0676
1588,41.7491
1521,42.4027
1564,42.5045
1563,75.9634
1532,33.1896
1577,64.5193
1520,41.1835
1569,41.0549
1550,101.189
1571,143.09
1568,159.297
1522,39.5624
1573,39.7996
1519,40.553
1497,39.6536
1533,39.7954
1515,39.6348
1541,39.6273
1520,114.675
1529,39.5327
1506,39.7742
1529,41.9638
1550,40.8824
1514,40.7531
1489,41.1296
1509,41.0219
1483,40.8762
1497,153.009
1472,40.8577
1482,40.8891
1520,40.4541
1482,39.4819
1510,39.3843
1503,39.5353
1477,99.3368
1468,41.6546
1503,204.488
1510,41.8137
1509,40.0822
1471,40.17
1430,39.9268
