rho,time
636,4.54687
1210,38.5216
1334,38.2228
1345,324.062
1417,38.6387
1404,35.8184
1413,324.08
1414,38.0303
1417,249.706
1427,110.452
1443,73.614
1444,37.8335
1425,74.0357
1417,38.189
1432,291.817
1412,37.7575
1405,268.111
1361,38.0021
1315,38.4397
1337,38.1239
1326,38.0724
1346,72.88
1303,37.9579
1332,38.0359
1299,223.421
1306,330.309
1282,289.122
1275,38.6847
1300,285.43
1289,39.1545
1303,224.628
1277,36.6239
1269,38.6681
1232,270.639
1250,229.98
1237,37.7419
1278,36.8341
1233,36.8126
1280,36.6877
1274,36.623
1233,36.7768
1212,34.8867
1244,36.6239
1211,108.752
1208,36.8166
1248,232.93
1209,36.5388
1260,34.8837
1245,209.001
1223,35.1268
1243,36.6741
1208,293.293
1211,36.8778
1188,286.969
1203,36.813
1196,34.6184
1204,35.7389
1181,36.9461
1201,36.2172
1138,233.935
1192,37.4263
1165,196.228
1154,36.7776
1184,245.032
1187,37.5948
1168,38.3198
1161,246.602
1159,36.7937
1192,182.919
1154,36.2539
1149,35.4217
1142,36.8551
1127,266.789
1111,276.462
1139,72.4182
1155,35.381
1129,35.4906
1104,37.3695
1108,34.7809
1096,37.0129
1134,293.404
1094,36.8995
1125,35.01
1091,273.884
1105,36.843
1079,35.2821
1094,245.983
1102,37.1935
1062,267.411
1085,37.4007
1112,36.4237
1059,71.5689
1090,37.8298
1093,36.7651
1066,35.7117
1059,37.1139
1053,34.9684
1045,245.354
1069,238.135
1058,35.5459
1059,37.1133
1044,36.407
1016,250.323
1045,35.6425
1052,35.5988
1019,36.1562
1016,223.701
1032,250.97
1040,252.128
1037,37.1259
1032,36.4096
992,250.285
1033,35.6162
1033,35.0231
1029,36.844
1042,223.14
1004,36.1371
1038,36.1684
1001,38.0255
1003,83.3891
987,214.257
994,174.993
985,243.473
1008,36.62
1016,37.191
975,35.6057
1014,244.391
980,72.1212
992,36.1872
975,71.3127
961,273.37
999,37.4512
941,37.5883
985,239.571
960,153.505
957,186.924
959,36.6921
950,36.1086
971,285.376
953,127.101
975,192.619
966,36.7234
937,37.4843
933,36.8066
939,217.774
957,37.3776
913,91.7524
935,37.2036
934,35.7214
916,36.7288
932,208.528
943,208.441
921,271.161
898,72.7418
915,35.6486
929,249.824
911,37.8311
891,36.4685
898,223.32
914,235.613
880,35.6473
881,202.222
902,35.6092
894,174.466
921,35.3925
882,115.216
865,265.388
847,37.6188
935,36.651
877,209.096
864,257.243
938,36.5188
883,35.3124
878,256.643
890,36.6274
843,199.576
863,37.6808
880,271.627
858,35.6898
856,83.3248
871,240.122
859,37.4751
845,35.7837
833,35.5662
821,35.4637
817,166.466
797,221.414
826,35.957
858,78.2984
810,202.83
814,180.574
789,36.0039
636,4.38564
1210,35.7836
1334,35.5005
1345,36.9515
1417,35.8565
1404,36.0375
1413,35.7393
1414,35.5674
1417,128.791
1427,36.7098
1443,36.714
1444,128.736
1425,36.0531
1417,72.1828
1432,144.994
1412,35.4534
1405,36.3561
1361,35.9165
1315,35.4434
1337,126.714
1326,36.8526
1346,74.5303
1303,36.2511
1332,36.1494
1299,76.7344
1306,128.914
1282,128.498
1275,107.105
1300,111.22
1289,36.5564
1303,36.7677
1277,90.6113
1269,37.4382
1232,36.5873
1250,91.7502
1237,35.8983
1278,35.1464
1233,33.2473
1280,33.3804
1274,34.8107
1233,36.5081
1212,73.7389
1244,35.0723
1211,127.629
1208,125.931
1248,35.1225
1209,128.693
1260,36.2428
1245,35.8898
1223,35.4055
1243,35.9277
1208,99.4265
1211,35.1153
1188,69.8468
1203,36.3927
1196,35.4209
1204,34.746
1181,35.5191
1201,35.8015
1138,35.6716
1192,105.804
1165,34.6325
1154,36.2521
1184,75.4791
1187,58.7982
1168,91.1268
1161,72.3651
1159,36.1241
1192,35.6046
1154,35.0067
1149,35.87
1142,36.4085
1127,99.5537
1111,36.2672
1139,38.0154
1155,72.1684
1129,36.6293
1104,36.6526
1108,35.802
1096,54.4981
1134,36.0464
1094,36.3928
1125,41.0597
1091,40.5378
1105,35.6873
1079,35.5277
1094,39.5521
1102,41.6532
1062,41.3687
1085,35.5234
1112,35.1521
1059,100.166
1090,78.4417
1093,90.2287
1066,92.6895
1059,36.3496
1053,35.7879
1045,36.4467
1069,36.2645
1058,36.2259
1059,35.6213
1044,36.7418
1016,36.1533
1045,54.7518
1052,36.007
1019,37.2898
1016,55.9202
1032,33.0723
1040,40.5712
1037,35.5008
1032,35.6257
992,33.2273
1033,39.8834
1033,37.8457
1029,33.3873
1042,34.6686
1004,39.4411
1038,37.2589
1001,75.8385
1003,34.0193
987,40.7549
994,39.9704
985,32.5528
1008,33.9367
1016,35.8769
975,35.5879
1014,58.0034
980,40.7673
992,34.3875
975,35.5788
961,33.9593
999,36.8393
941,99.1125
985,76.4349
960,71.5472
957,70.4656
959,36.1789
950,35.6387
971,38.7281
953,56.2638
975,40.2875
966,40.0106
937,36.9244
933,36.4875
939,38.1381
957,59.2622
913,38.9005
935,36.5383
934,36.4471
916,73.4467
932,74.5131
943,74.3154
921,130.058
898,35.663
915,36.8567
929,76.6999
911,36.2056
891,92.3903
898,37.4928
914,36.7597
880,36.4343
881,36.4208
902,36.5394
894,77.3672
921,54.7315
882,92.192
865,63.4485
847,35.942
935,36.4053
877,37.3508
864,38.0711
938,35.086
883,40.2519
878,41.4448
890,31.1619
843,53.0729
863,35.6493
880,36.2735
858,39.3388
856,35.6816
