rho,time
4767,56.3865
4767,54.2576
4767,53.0742
4767,45.8189
4767,50.7298
4767,144.684
4772,49.5145
4767,49.9317
4776,129.434
4779,49.0036
4771,51.3479
4762,48.2356
4766,47.9903
4747,45.9426
4777,43.0289
4765,75.2632
4760,99.2814
4770,77.2634
4777,124.88
4736,44.5893
4743,48.8298
4752,141.714
4743,46.1354
4748,47.3395
4751,93.5587
4726,46.5157
4745,47.1607
4697,46.0321
4720,45.6039
4709,47.2881
4711,47.0179
4699,46.8443
4711,46.0278
4652,123.838
4645,234.203
4692,46.1567
4700,92.6446
4676,45.8805
4654,90.2363
4629,46.3676
4617,45.7913
4602,45.4717
4592,102.851
4595,49.8031
4587,44.8792
4570,44.6888
4591,90.7643
4567,44.2665
4570,45.9867
4525,46.6828
4543,45.0712
4535,44.6862
4510,49.0293
4498,49.9186
4487,49.1361
4452,69.6632
4476,73.2371
4431,44.4172
4433,79.611
4400,112.643
4380,82.9561
4372,48.8306
4387,43.2411
4376,42.8637
4356,50.462
4282,66.3068
4311,65.8767
4283,75.0569
4299,44.4759
4273,44.4911
4276,42.5572
4256,85.489
4230,42.6426
4206,42.7325
4205,42.3015
4196,43.1478
4187,157.741
4166,43.2309
4137,148.489
4121,43.0573
4141,43.7686
4137,43.056
4097,134.066
4061,132.97
4131,41.8342
4090,46.4121
4049,41.8828
4046,53.2611
4008,56.9215
4014,41.7686
3987,41.1761
4006,112.699
3978,42.0286
3966,41.9052
3939,41.3793
3889,41.3725
3920,105.968
3918,53.4675
3901,40.7282
3874,44.2219
3872,40.7633
3855,43.7711
3852,47.7607
3813,44.9785
3812,106.911
3801,41.5484
3778,41.4474
3742,121.538
3722,203.777
3741,41.6965
3698,41.3748
3718,90.515
3701,50.2785
3714,76.4383
3665,49.8829
3641,39.0501
3643,75.5288
3641,77.7344
3654,44.4536
3590,81.192
3573,52.9516
3580,52.3244
3548,39.7515
3553,78.3885
3514,41.4393
3541,43.215
3489,38.0012
3486,39.2185
3480,53.0195
3431,39.5709
3439,94.4877
3404,51.2108
3386,38.8848
3382,38.5752
3386,78.7439
3333,53.9552
3341,42.1069
3315,41.2253
3318,189.63
3266,40.8644
3273,40.8005
3273,42.0656
3221,41.0911
3234,40.3246
3203,44.9145
3197,40.9262
3184,127.125
3155,40.6705
3134,40.0712
3113,105.752
3100,40.5219
3086,188.181
3084,41.0773
3070,78.9469
3089,151.243
3030,45.5153
3009,41.1588
2991,40.9789
2976,47.2278
2928,52.6345
2940,36.0855
2905,68.5662
2900,52.2509
2843,49.6217
2879,121.042
2810,97.552
2782,79.1083
2810,40.755
2786,44.1733
2746,50.1772
2723,48.5846
2729,98.6668
2700,107.749
2655,78.3886
2654,43.186
2631,70.1661
2578,39.9448
2571,39.5144
2557,42.2186
2545,44.3741
2506,101.511
2502,40.6666
2438,136.72
2446,79.2515
2420,49.38
2417,39.4739
2373,137.914
2363,88.61
2337,40.0954
2340,39.7292
2307,80.5601
2280,40.5796
636,4.54687
1210,38.5216
1334,38.2228
1345,324.062
1417,38.6387
1404,35.8184
1413,324.08
1414,38.0303
1417,249.706
1427,110.452
1443,73.614
1444,37.8335
1425,74.0357
1417,38.189
1432,291.817
1412,37.7575
1405,268.111
1361,38.0021
1315,38.4397
1337,38.1239
1326,38.0724
1346,72.88
1303,37.9579
1332,38.0359
1299,223.421
1306,330.309
1282,289.122
1275,38.6847
1300,285.43
1289,39.1545
1303,224.628
1277,36.6239
1269,38.6681
1232,270.639
1250,229.98
1237,37.7419
1278,36.8341
1233,36.8126
1280,36.6877
1274,36.623
1233,36.7768
1212,34.8867
1244,36.6239
1211,108.752
1208,36.8166
1248,232.93
1209,36.5388
1260,34.8837
1245,209.001
1223,35.1268
1243,36.6741
1208,293.293
1211,36.8778
1188,286.969
1203,36.813
1196,34.6184
1204,35.7389
1181,36.9461
1201,36.2172
1138,233.935
1192,37.4263
1165,196.228
1154,36.7776
1184,245.032
1187,37.5948
1168,38.3198
1161,246.602
1159,36.7937
1192,182.919
1154,36.2539
1149,35.4217
1142,36.8551
1127,266.789
1111,276.462
1139,72.4182
1155,35.381
1129,35.4906
1104,37.3695
1108,34.7809
1096,37.0129
1134,293.404
1094,36.8995
1125,35.01
1091,273.884
1105,36.843
1079,35.2821
1094,245.983
1102,37.1935
1062,267.411
1085,37.4007
1112,36.4237
1059,71.5689
1090,37.8298
1093,36.7651
1066,35.7117
1059,37.1139
1053,34.9684
1045,245.354
1069,238.135
1058,35.5459
1059,37.1133
1044,36.407
1016,250.323
1045,35.6425
1052,35.5988
1019,36.1562
1016,223.701
1032,250.97
1040,252.128
1037,37.1259
1032,36.4096
992,250.285
1033,35.6162
1033,35.0231
1029,36.844
1042,223.14
1004,36.1371
1038,36.1684
1001,38.0255
1003,83.3891
987,214.257
994,174.993
985,243.473
1008,36.62
1016,37.191
975,35.6057
1014,244.391
980,72.1212
992,36.1872
975,71.3127
961,273.37
999,37.4512
941,37.5883
985,239.571
960,153.505
957,186.924
959,36.6921
950,36.1086
971,285.376
953,127.101
975,192.619
966,36.7234
937,37.4843
933,36.8066
939,217.774
957,37.3776
913,91.7524
935,37.2036
934,35.7214
916,36.7288
932,208.528
943,208.441
921,271.161
898,72.7418
915,35.6486
929,249.824
911,37.8311
891,36.4685
898,223.32
914,235.613
880,35.6473
881,202.222
902,35.6092
894,174.466
921,35.3925
882,115.216
865,265.388
847,37.6188
935,36.651
877,209.096
864,257.243
938,36.5188
883,35.3124
878,256.643
890,36.6274
843,199.576
863,37.6808
880,271.627
858,35.6898
856,83.3248
871,240.122
859,37.4751
845,35.7837
833,35.5662
821,35.4637
817,166.466
797,221.414
826,35.957
858,78.2984
810,202.83
814,180.574
789,36.0039
4767,144.218
4767,9.74167
4767,8.64632
4767,50.9027
4767,101.282
4767,16.8312
4772,49.1312
4767,49.6902
4776,37.5091
4779,47.6873
4771,48.8194
4762,36.3676
4766,49.2933
4747,52.5917
4777,47.2434
4765,52.2013
4760,38.9737
4770,48.9305
4777,52.2881
4736,47.1215
4743,109.495
4752,18.672
4743,45.7191
4748,53.7798
4751,42.6622
4726,49.3381
4745,25.8799
4697,45.6089
4720,118.977
4709,46.6869
4711,53.7246
4699,45.2789
4711,54.3944
4652,43.2948
4645,45.8287
4692,109.898
4700,19.8657
4676,45.6197
4654,115.369
4629,19.5357
4617,45.1928
4602,53.863
4592,43.9225
4595,140.443
4587,45.0365
4570,54.9243
4591,43.0031
4567,114.387
4570,20.1662
4525,44.5854
