rho,time
14,0.0170541
13,0.0238779
13,0.0240409
13,0.0246229
13,0.023623
13,0.0238581
13,0.0228441
13,0.0222969
13,0.021482
51,0.0566568
50,0.0244319
45,0.0261159
39,0.024617
34,0.0192158
29,0.0216408
28,0.0223901
20,0.0187218
14,0.022408
14,0.016727
13,0.0211861
13,0.027827
13,0.0225101
13,0.0222411
13,0.0211809
13,0.0221009
13,0.019793
13,0.0214839
51,0.0445762
50,0.024591
45,0.0255089
39,0.02334
34,0.0209918
29,0.0186319
28,0.020262
20,0.0175331
14,0.01775
14,0.016593
13,0.021163
13,0.0228081
13,0.022264
13,0.0222549
13,0.0227711
13,0.0228829
13,0.0222049
13,0.022393
51,0.0467632
50,0.0239079
45,0.0276639
39,0.030849
34,0.026171
29,0.0240459
28,0.0215988
20,0.0239861
14,0.0171099
14,0.016135
13,0.0260539
13,0.0281091
13,0.0535851
13,0.0250561
13,0.0495689
13,0.052026
13,0.0410619
13,0.0290761
51,0.0258651
50,0.02739
45,0.027359
39,0.0277901
34,0.0274842
29,0.0313351
28,0.020165
20,0.0218699
14,0.0173628
14,0.0161109
13,0.0257509
13,0.027072
13,0.025202
13,0.0288529
13,0.0270691
13,0.028609
13,0.046443
13,0.029258
51,0.022336
50,0.0260911
45,0.0274248
39,0.0312052
34,0.0279021
29,0.030705
28,0.0346541
20,0.022084
14,0.020278
14,0.0158141
13,0.0273111
13,0.025914
13,0.0257752
13,0.029669
13,0.0615568
13,0.0421939
13,0.0414081
13,0.0270422
51,0.022001
50,0.0313821
45,0.0427849
39,0.0222659
34,0.025223
29,0.02226
28,0.021369
20,0.02302
14,0.0215151
14,0.016242
13,0.0226569
13,0.0386899
13,0.0423741
13,0.0432031
13,0.038909
13,0.043884
13,0.0420828
13,0.039191
51,0.0219951
50,0.026454
45,0.0242779
39,0.023325
34,0.02193
29,0.0184469
28,0.0223069
20,0.0174179
14,0.017828
14,0.0157979
13,0.028316
13,0.0368481
13,0.043638
13,0.028455
13,0.0300272
13,0.0482681
13,0.0302708
13,0.0282671
51,0.022311
50,0.0330079
45,0.0289168
39,0.025521
34,0.0221539
29,0.0254929
28,0.027086
20,0.024003
14,0.022486
14,0.015933
13,0.0304329
13,0.0296919
13,0.030184
13,0.0302231
13,0.0301878
13,0.0363462
13,0.0363419
13,0.0300221
51,0.0228119
50,0.0264299
45,0.0296731
39,0.035166
34,0.0279391
29,0.0234311
28,0.023334
20,0.0240571
14,0.0231621
14,0.0160961
13,0.0208361
13,0.020313
13,0.023005
13,0.0230789
13,0.0210831
13,0.0218759
13,0.021709
13,0.0216501
51,0.0379729
50,0.029295
45,0.0218282
39,0.0217481
34,0.023391
29,0.0211902
28,0.0174201
20,0.022958
14,0.018631
14,0.016593
13,0.021354
13,0.021935
13,0.0218859
13,0.0219052
13,0.0218391
13,0.0227418
13,0.0275168
13,0.0269589
51,0.0586891
50,0.0249128
45,0.0286698
39,0.026325
34,0.0196218
29,0.018827
28,0.0256908
20,0.025687
14,0.019485
14,0.023802
13,0.0256071
13,0.025574
13,0.0238371
13,0.0258138
13,0.0271499
13,0.0260899
13,0.029979
13,0.0306852
51,0.022372
50,0.051513
45,0.0330958
39,0.0528162
34,0.0472732
29,0.022789
28,0.0490742
20,0.0452521
14,0.0287249
14,0.0163751
13,0.0218902
13,0.0241401
13,0.035327
13,0.022455
13,0.0358031
13,0.0549741
13,0.022326
13,0.0549741
51,0.0405421
50,0.0305281
45,0.0230851
39,0.0244861
34,0.0190079
29,0.030772
28,0.0265241
20,0.0173759
14,0.0208549
14,0.0165741
13,0.0460889
13,0.0490019
13,0.0302691
13,0.046716
13,0.0272191
13,0.04321
13,0.025949
13,0.0296261
51,0.0231678
50,0.026278
45,0.0292511
39,0.0242891
34,0.0221901
29,0.0264001
28,0.0216701
20,0.0206659
14,0.0239642
14,0.016274
13,0.0455461
13,0.0243831
13,0.022332
13,0.0223639
13,0.02233
13,0.023092
13,0.045253
13,0.0271621
51,0.0386319
50,0.0270641
45,0.0228601
39,0.0231528
34,0.0229511
29,0.022861
28,0.0209451
20,0.018522
14,0.0189402
14,0.0158229
13,0.0275211
13,0.0279582
13,0.025969
13,0.0281782
13,0.0349209
13,0.048969
13,0.030045
13,0.03652
51,0.0233481
50,0.0351481
45,0.028178
39,0.0279019
34,0.0291929
29,0.0291159
28,0.0282981
20,0.022182
14,0.022542
14,0.015748
13,0.02616
13,0.0265539
13,0.027092
13,0.030576
13,0.0293579
13,0.0281172
13,0.0252259
13,0.0454769
51,0.021841
50,0.0324261
45,0.0263479
39,0.023814
34,0.025986
29,0.0261099
28,0.0205052
20,0.023253
14,0.0222991
14,0.0161171
13,0.026721
13,0.0315621
13,0.037714
13,0.03037
13,0.036294
13,0.030369
13,0.0272641
13,0.029048
51,0.0220809
50,0.034503
45,0.030606
39,0.0243909
34,0.0258081
29,0.0226412
28,0.0303199
20,0.022238
14,0.0199161
14,0.0218351
13,0.0301261
13,0.029803
13,0.0354428
13,0.0332439
13,0.036603
13,0.031739
13,0.039288
13,0.03742
51,0.0218391
50,0.0354249
45,0.0297849
39,0.0371599
34,0.0235369
29,0.027019
28,0.026047
20,0.0288539
14,0.0244961
14,0.0159721
13,0.0273681
13,0.0429311
13,0.0451059
13,0.025696
13,0.0430632
13,0.02546
13,0.0445271
13,0.026361
51,0.022655
50,0.0262001
45,0.027092
39,0.023828
34,0.0189559
29,0.0238431
28,0.0237441
20,0.0189471
14,0.0191681
