rho,time
85,11.9882
85,12.2155
66,12.0339
64,11.7387
61,11.7759
59,11.8799
55,11.9762
54,12.1034
50,12.0361
49,12.0483
48,12.0514
47,12.0931
46,12.0224
44,12.0496
618,14.889
1006,13.3099
647,12.4941
362,11.4549
195,11.2728
127,10.9856
82,10.7747
74,10.6235
60,10.6736
51,10.6254
42,10.6327
41,10.6884
34,10.5776
29,10.6112
85,11.6906
85,11.978
66,11.9116
64,11.7454
61,11.72
59,11.7772
55,12.0047
54,12.0702
50,11.9001
49,12.0127
48,12.0127
47,11.9882
46,12.0327
44,12.0728
618,14.4048
1006,13.2742
647,12.4693
362,11.452
195,11.2744
127,10.8854
82,10.7207
74,10.7088
60,10.6974
51,10.6852
42,10.6479
41,10.6313
34,10.6145
29,10.7169
85,11.5488
85,11.9807
66,11.8405
64,11.6804
61,11.7797
59,11.7322
55,11.9713
54,11.9499
50,12.0047
49,12.0843
48,11.9717
47,11.9767
46,12.0307
44,12.035
618,14.4093
1006,13.2293
647,12.4062
362,11.4571
195,11.2609
127,10.8862
82,10.7058
74,10.602
60,10.687
51,10.6728
42,10.5913
41,10.6321
34,10.5969
29,10.6291
85,11.5442
85,11.9803
66,11.8744
64,11.6779
61,11.6861
59,11.7084
55,11.9991
54,11.9624
50,11.8792
49,11.9893
48,11.9863
47,12.046
46,12.0192
44,12.0253
618,14.4817
1006,13.2457
647,12.4635
362,11.4293
195,11.246
127,10.9524
82,10.736
74,10.6292
60,10.6672
51,10.6513
42,10.6577
41,10.6444
34,10.6826
29,10.6314
85,11.5625
85,12.0315
66,11.9528
64,11.4686
61,11.5694
59,11.8031
55,12.0072
54,12.0284
50,12.0678
49,12.0617
48,12.0569
47,12.0105
46,11.9009
44,12.0495
618,14.4366
1006,13.2937
647,12.4788
362,11.4869
195,11.2844
127,10.9053
82,10.7118
74,10.6517
60,10.0576
51,10.5373
42,10.6478
41,10.6697
34,10.6568
29,10.6264
