rho,time
1998,3.78498
1991,4.89558
1989,4.82702
1958,4.73827
1953,4.6766
1968,4.6542
1961,4.62955
1948,4.59967
1956,4.57849
1916,4.56524
1914,4.57409
1921,4.55064
1896,4.53907
1909,4.51753
1879,17.2278
1887,12.5699
1887,3.66386
1869,2.70833
1855,4.42981
1864,5.18676
1857,4.16
1847,5.12357
1837,4.06309
1825,3.3983
1834,5.01901
1829,4.02667
1815,3.34987
1796,4.63586
1784,4.29153
1798,4.36514
1795,4.72427
1781,4.25786
1769,4.64573
1764,4.1667
1757,3.29505
1740,4.32327
1734,4.8366
1751,4.15248
1767,4.29713
1749,12.3543
1725,4.14794
1704,4.59814
1718,4.26203
1707,4.25493
1688,4.68348
1703,4.24702
1702,4.63922
1682,4.20506
1682,4.5464
1675,4.233
1665,4.21629
1674,4.2132
1672,4.20191
1657,4.32382
1647,4.38344
1631,29.3922
1645,2.17348
1612,1.98745
1639,4.24108
1630,21.2106
1618,4.12714
1627,12.5702
1603,3.85433
1602,25.7417
1589,2.89681
1582,24.4388
1580,3.33147
1585,19.4872
1575,3.0296
1556,4.21528
1568,4.20456
1562,4.19352
1561,13.0604
1540,3.77524
1532,4.18236
1545,4.17927
1548,4.18423
1523,4.20461
1522,4.1667
1507,4.1555
1508,4.15082
1516,4.15414
1503,4.14289
1516,4.12455
1486,4.16136
1489,4.15736
1475,4.15935
1481,4.15487
1479,4.14718
1471,4.15421
1466,4.14652
1449,4.14178
1445,4.1274
1447,28.8567
1459,1.86604
1445,12.9525
1428,3.15724
1427,2.87854
1432,23.1401
1413,2.18842
1415,4.04542
1406,4.03429
1412,4.03264
1400,4.11685
1392,4.06873
1393,4.06355
1392,15.6446
1362,3.99919
1374,4.0133
1392,4.19924
1374,4.04595
1356,12.7667
1347,3.13304
1346,23.0632
1342,2.25431
1347,4.00838
1339,4.3183
1302,16.3539
1328,2.62025
1331,2.54742
1311,4.0155
1297,4.01718
1309,4.01773
1306,3.99904
1299,3.99555
1279,3.99543
1275,27.902
1290,29.9361
1280,1.52743
1274,3.984
1264,3.95505
1254,3.95382
1268,3.96308
1258,3.96979
1257,3.96486
1244,3.95173
1248,3.95451
1252,48.7115
1252,1.38809
1224,4.23
1239,42.1977
1224,1.75328
1221,4.23713
1208,4.2548
1188,4.24235
1195,4.2151
1197,4.21932
824,1.54777
1047,4.46827
1088,4.38692
1137,4.54536
1154,4.48703
1160,4.42929
1157,4.45249
1182,4.40623
1170,4.42794
1195,4.3005
1156,4.47278
1139,4.39978
1160,4.43817
1162,4.4423
1173,4.57997
1151,4.46278
1099,4.47167
1116,4.44195
1148,4.33008
1158,4.4096
1122,4.34286
1116,4.44761
1110,4.41293
1132,4.37622
1115,4.45047
1107,4.48741
1105,4.44142
1133,4.33922
1122,4.36462
1119,4.56836
1105,4.45256
1103,4.38928
1105,4.40318
1105,4.45706
1118,4.39605
1074,4.45723
1073,4.45505
1063,4.39458
1064,4.44343
1062,4.44184
1089,4.44076
1083,4.43695
1043,4.4449
1033,4.45391
1035,29.8995
1019,4.43478
1020,55.8834
1012,4.42105
1037,4.34264
1040,4.27291
1033,4.40793
1010,4.35267
1026,4.4069
1016,4.35543
1011,4.41076
1000,4.34165
