rho,time
4767,34.6949
4767,31.6943
4767,31.8013
4767,32.8166
4767,32.8782
4767,32.7713
4772,32.5737
4767,32.4022
4776,32.245
4779,32.0063
4771,31.9302
4762,31.8902
4766,31.8218
4747,31.7588
4777,31.6252
4765,31.5299
4760,31.5028
4770,31.0508
4777,31.0244
4736,30.7896
4743,30.7833
4752,30.5291
4743,30.4787
4748,30.3687
4751,30.3828
4726,30.2142
4745,30.2158
4697,30.0698
4720,30.0525
4709,30.0227
4711,29.8552
4699,29.7768
4711,29.6695
4652,29.6314
4645,29.4552
4692,29.2448
4700,29.3206
4676,29.2715
4654,29.2696
4629,29.0954
4617,29.0397
4602,28.9847
4592,29.0193
4595,29.0299
4587,28.9235
4570,28.7974
4591,28.7491
4567,28.814
4570,28.5357
4525,28.4475
4543,28.6409
4535,28.5284
4510,28.5752
4498,28.3317
4487,28.2423
4452,28.1506
4476,28.1908
4431,28.1376
4433,27.9837
4400,27.8946
4380,27.834
4372,27.8525
4387,27.8374
4376,28.0487
4356,27.8483
4282,27.7266
4311,27.6437
4283,27.5881
4299,27.745
4273,27.4989
4276,27.47
4256,27.8849
4230,27.8547
4206,27.9151
4205,27.7704
4196,27.6976
4187,27.6577
4166,27.6225
4137,27.5889
4121,27.47
4141,27.3774
4137,27.3916
4097,27.3724
4061,27.3214
4131,27.2332
4090,27.2236
4049,27.1541
4046,27.1185
4008,27.1373
4014,27.1547
3987,26.9715
4006,26.9419
3978,26.8914
3966,26.9194
3939,26.9019
3889,26.8526
3920,26.8503
3918,26.7675
3901,26.7007
3874,26.6546
3872,26.6481
3855,26.5814
3852,26.5434
3813,26.5135
3812,26.4979
3801,26.4396
3778,26.4099
3742,26.3983
3722,26.3749
3741,26.6409
3698,26.4573
3718,26.4281
3701,26.417
3714,26.3737
3665,26.4859
3641,26.2832
3643,27.2138
3641,26.2193
3654,27.2027
3590,27.4128
3573,27.1419
3580,27.1212
3548,27.0723
3553,27.0776
3514,27.1169
3541,27.0094
3489,26.9346
3486,26.8824
3480,26.8566
3431,26.9038
3439,26.8442
3404,26.8293
3386,26.8082
3382,26.7516
3386,26.6929
3333,26.6994
3341,26.6903
3315,26.653
3318,26.6098
3266,26.635
3273,26.5791
3273,26.5774
3221,26.5867
3234,26.5447
3203,26.5104
3197,26.507
3184,26.4845
3155,26.517
3134,26.4735
3113,26.4599
3100,26.4469
3086,26.42
3084,26.3212
3070,26.3962
3089,26.5584
3030,21.5011
3009,26.4173
2991,26.3478
2976,26.2562
2928,26.2361
2940,26.2236
2905,26.3356
2900,26.2306
2843,26.23
2879,26.206
2810,26.1716
2782,26.1971
2810,26.1513
2786,26.1055
2746,26.1044
2723,26.0781
2729,26.0917
2700,26.0771
2655,26.0374
2654,26.0065
2631,26.0263
2578,26.0137
2571,25.9653
2557,25.9439
2545,26.0093
2506,25.9939
2502,25.9609
2438,25.9855
2446,25.916
2420,25.9625
2417,25.8718
2373,25.9402
2363,25.8561
2337,25.8633
2340,25.8698
2307,19.4645
2280,37.0995
636,10.1997
1210,24.6037
1334,23.8992
1345,23.9648
1417,23.8573
1404,23.7432
1413,23.949
1414,23.7223
1417,23.7579
1427,23.5667
1443,23.8685
1444,23.5685
1425,23.9191
1417,23.858
1432,23.7337
1412,23.5714
1405,24.0798
1361,23.952
1315,23.7614
1337,23.7719
1326,24.222
1346,24.1939
