rho,time
17,0.01197
17,0.0367482
17,0.032388
17,0.0314591
17,0.0358059
17,0.0353909
17,0.0354481
17,0.032397
17,0.0353029
17,0.0302849
17,0.035301
16,0.035825
16,0.035661
51,0.0538499
47,0.035923
42,0.0366962
36,0.0369561
33,0.0288332
32,0.0351672
29,0.034955
25,0.036165
23,0.0360181
20,0.031986
16,0.0282528
12,0.0329642
10,0.029336
17,0.0115991
17,0.0798018
17,0.0301578
17,0.0300231
17,0.036021
17,0.032531
17,0.028754
17,0.0288882
17,0.03126
17,0.0343189
17,0.0309389
16,0.03234
16,0.0317569
51,0.047997
47,0.0395901
42,0.0311222
36,0.0366349
33,0.0330698
32,0.036108
29,0.034688
25,0.034723
23,0.0307772
20,0.029768
16,0.03438
12,0.0391779
10,0.0326009
17,0.0120049
17,0.037658
17,0.037205
17,0.0310621
17,0.0313389
17,0.0356359
17,0.034924
17,0.0331419
17,0.032172
17,0.0335419
17,0.037452
16,0.037267
16,0.0325041
51,0.0532899
47,0.0311971
42,0.0379641
36,0.037535
33,0.0342941
32,0.0311511
29,0.0317731
25,0.0356841
23,0.0277891
20,0.0334771
16,0.0274191
12,0.032043
10,0.032361
17,0.0117621
17,0.0327861
17,0.03039
17,0.032753
17,0.035392
17,0.0729609
17,0.033412
17,0.0329299
17,0.0359509
17,0.0318289
17,0.0324421
16,0.0354118
16,0.035949
51,0.049484
47,0.036546
42,0.037266
36,0.037761
33,0.0345349
32,0.0351801
29,0.0277591
25,0.0317891
23,0.0266609
20,0.0316398
16,0.0275359
12,0.0319529
10,0.0310779
17,0.011728
17,0.0337348
17,0.0337811
17,0.0362139
17,0.0398099
17,0.03983
17,0.0338278
17,0.0318139
17,0.0333319
17,0.0319641
17,0.033366
16,0.0333428
16,0.0331731
51,0.0560591
47,0.032155
42,0.0327959
36,0.034523
33,0.036453
32,0.03614
29,0.030808
25,0.0330789
23,0.030298
20,0.03297
16,0.027617
12,0.0287468
10,0.0277019
17,0.0120821
17,0.0322301
17,0.03229
17,0.032124
17,0.0686729
17,0.033627
17,0.0309329
17,0.0309739
17,0.0348461
17,0.0287318
17,0.0333898
16,0.033129
16,0.0335381
51,0.0497808
47,0.0381129
42,0.038111
36,0.0311232
33,0.0347478
32,0.031091
29,0.0364251
25,0.0310841
23,0.0274072
20,0.0332291
16,0.033819
12,0.031333
10,0.030525
17,0.0116088
17,0.037946
17,0.0372009
17,0.035502
17,0.039304
17,0.0301409
17,0.033963
17,0.0313148
17,0.0297489
17,0.028656
17,0.0319541
16,0.0393279
16,0.035928
51,0.0552781
47,0.037617
42,0.0399098
36,0.036062
33,0.03405
32,0.0389469
29,0.0387409
25,0.0314169
23,0.033196
20,0.032692
16,0.0288439
12,0.03491
10,0.0283151
17,0.0123219
17,0.068629
17,0.070729
17,0.071347
17,0.0712659
17,0.0715389
17,0.0688062
17,0.068764
17,0.070226
17,0.069804
17,0.0656281
16,0.0545371
16,0.0561042
51,0.0170751
47,0.0373628
42,0.0387721
36,0.027678
33,0.034162
32,0.0332139
29,0.0266621
25,0.03213
23,0.0342538
20,0.0281661
16,0.0282629
12,0.0415289
10,0.0266309
17,0.011591
17,0.0334671
17,0.0330079
17,0.0335321
17,0.033855
17,0.038779
17,0.031229
17,0.037801
17,0.0336289
17,0.03299
17,0.0371351
16,0.0284431
16,0.0377991
51,0.0547729
47,0.038666
42,0.034004
36,0.0331631
33,0.0359821
32,0.0348651
29,0.032212
25,0.033833
23,0.036973
20,0.030304
16,0.038661
12,0.0379701
10,0.026773
17,0.0114672
17,0.033498
17,0.0347729
17,0.0323
17,0.0332098
17,0.0337272
17,0.033736
17,0.0321569
17,0.033741
17,0.0348389
17,0.0334959
16,0.0322449
16,0.034265
51,0.0513461
47,0.0373099
42,0.037447
36,0.0346348
33,0.0309629
32,0.0257959
29,0.0313978
25,0.031328
23,0.0302389
20,0.0300519
16,0.0287368
12,0.0306089
10,0.0319829
17,0.0117559
17,0.0324051
17,0.0386281
17,0.0333641
17,0.0366819
17,0.0395598
17,0.034348
17,0.0324371
17,0.03478
17,0.036001
17,0.0324099
16,0.0367229
16,0.0296409
51,0.05512
47,0.0302329
42,0.0359831
36,0.037004
33,0.032831
32,0.031672
29,0.036231
25,0.033633
23,0.03146
20,0.035603
16,0.0308778
12,0.0302579
10,0.027432
17,0.0116649
17,0.0281811
17,0.0298331
17,0.0341601
17,0.0374029
17,0.032783
17,0.037621
17,0.0382898
17,0.031831
17,0.0327101
17,0.03829
16,0.03232
16,0.0340941
51,0.0549719
47,0.0360441
42,0.0346811
36,0.0331411
33,0.0327411
32,0.0331721
29,0.0299802
25,0.033011
23,0.029835
20,0.0342691
16,0.0286472
12,0.0292511
10,0.03056
17,0.0114741
17,0.033246
17,0.0344729
17,0.0335729
17,0.0329821
17,0.034477
17,0.0345049
17,0.03038
17,0.028903
17,0.0342879
17,0.0326929
16,0.0340619
16,0.0342751
51,0.05094
47,0.035975
42,0.0329611
36,0.031353
33,0.0287659
32,0.0372801
29,0.0350082
25,0.034941
23,0.02722
20,0.0283091
16,0.0244811
12,0.0316322
10,0.0365
17,0.011461
17,0.082576
17,0.0585711
17,0.039084
17,0.0675969
17,0.040592
17,0.061712
17,0.0534031
17,0.0573549
17,0.0827811
17,0.0571032
16,0.0365701
16,0.064162
51,0.026875
47,0.031729
42,0.031357
36,0.038274
33,0.0292599
32,0.0309629
29,0.0276899
25,0.0444338
23,0.0575011
20,0.057261
16,0.0273221
12,0.028744
10,0.0270069
17,0.0115671
17,0.0391951
17,0.0320981
17,0.039228
17,0.0335231
17,0.0352759
17,0.0321162
17,0.035289
17,0.03529
17,0.0340271
17,0.0333061
16,0.036972
16,0.0377011
51,0.053751
47,0.038131
42,0.036963
36,0.035428
33,0.0352089
32,0.029649
29,0.0300019
25,0.0355229
23,0.02649
20,0.0323429
16,0.030745
12,0.0255799
10,0.0295889
17,0.0115211
17,0.0341022
17,0.0309498
17,0.032553
17,0.037678
17,0.0356441
17,0.0327051
17,0.0309482
17,0.0347991
17,0.0327649
17,0.032547
16,0.0304918
16,0.0349638
51,0.0509508
47,0.0394549
42,0.0402069
36,0.033679
33,0.035876
32,0.0355191
29,0.0311649
25,0.0310931
23,0.03232
20,0.0299621
16,0.0298831
12,0.0304742
10,0.0276251
17,0.0120258
17,0.0332069
17,0.0310528
17,0.0354199
17,0.034095
17,0.0331109
17,0.0346651
17,0.0330782
17,0.033725
17,0.0307379
17,0.030865
16,0.0332589
16,0.0389509
51,0.054816
47,0.036154
42,0.037617
36,0.036185
33,0.0361772
32,0.0319159
29,0.035543
25,0.03058
23,0.0353599
20,0.030333
16,0.0318921
12,0.0298719
10,0.029927
17,0.011929
17,0.0316079
17,0.0343099
17,0.032774
17,0.0335
17,0.034343
17,0.0339479
17,0.030247
17,0.034328
17,0.03392
17,0.028744
16,0.0374329
16,0.0337799
51,0.053185
47,0.037921
42,0.0362899
36,0.0352809
33,0.0274951
32,0.031065
29,0.0293171
25,0.034137
23,0.0380838
20,0.036094
16,0.031291
12,0.025718
