rho,time
98,0.1974
77,0.1846
54,0.1731
41,0.1675
21,0.1733
14,0.1667
20,0.18
15,0.1906
17,0.1866
14,0.183
14,0.2101
13,0.1559
98,0.2013
77,0.1841
54,0.1741
41,0.1691
21,0.1636
14,0.1626
20,0.1869
15,0.1855
17,0.1833
14,0.1828
14,0.1813
13,0.1662
98,0.201
77,0.1831
54,0.1832
41,0.1668
21,0.163
14,0.162
20,0.1858
15,0.1854
17,0.1924
14,0.1819
14,0.1809
13,0.1643
98,0.1988
77,0.1823
54,0.1716
41,0.1664
21,0.1631
14,0.1627
20,0.1862
15,0.1844
17,0.1821
14,0.1808
14,0.18
13,0.1642
98,0.1992
77,0.1823
54,0.1721
41,0.1663
21,0.1635
14,0.1623
20,0.1843
15,0.1837
17,0.1824
14,0.1799
14,0.1811
13,0.1649
98,0.1981
77,0.1821
54,0.1717
41,0.1664
21,0.1631
14,0.1624
20,0.1841
15,0.1844
17,0.1816
14,0.1805
14,0.1804
13,0.1642
98,0.1983
77,0.182
54,0.1715
41,0.1667
21,0.1632
14,0.1688
20,0.1847
15,0.185
17,0.1834
14,0.1804
14,0.1809
13,0.1716
98,0.1996
77,0.1817
54,0.1715
41,0.166
21,0.163
14,0.1623
20,0.1831
15,0.1841
17,0.1817
14,0.1797
14,0.1796
13,0.1654
98,0.1986
77,0.1817
54,0.1714
41,0.1658
21,0.1628
14,0.1623
20,0.184
15,0.1842
17,0.1816
14,0.1806
14,0.1799
13,0.1644
98,0.1988
77,0.1818
54,0.1787
41,0.1667
21,0.1628
14,0.1624
20,0.1849
15,0.184
17,0.1864
14,0.1812
14,0.1805
13,0.1656
